doctorid,email,password,name,mobilenum,address,specialisation,experience
D001,dr.john@example.com,password123,"Dr. John Smith",9876543210,"123 Main St, City A",Cardiology,10
D002,dr.jane@example.com,password123,"Dr. Jane Doe",9876543211,"456 Elm St, City B",Neurology,12
D003,dr.alex@example.com,password123,"Dr. Alex Green",9876543212,"789 Oak St, City C",Orthopedics,15
D004,dr.mary@example.com,password123,"Dr. Mary Brown",9876543213,"101 Pine St, City D",Pediatrics,8
D005,dr.david@example.com,password123,"Dr. David White",9876543214,"202 Maple St, City E",Dermatology,18
D006,dr.susan@example.com,password123,"Dr. Susan Lee",9876543215,"303 Cedar St, City F",Gynecology,9
D007,dr.peter@example.com,password123,"Dr. Peter Harris",9876543216,"404 Birch St, City G",Ophthalmology,11
D008,dr.elizabeth@example.com,password123,"Dr. Elizabeth Clark",9876543217,"505 Willow St, City H",Endocrinology,14
D009,dr.james@example.com,password123,"Dr. James Hall",9876543218,"606 Pine St, City I","General Medicine",20
D010,dr.nina@example.com,password123,"Dr. Nina Walker",9876543219,"707 Redwood St, City J",Psychiatry,6
D011,dr.robert@example.com,password123,"Dr. Robert Allen",9876543220,"808 Oakwood St, City K",Surgery,17
D012,dr.michael@example.com,password123,"Dr. Michael Scott",9876543221,"909 Hickory St, City L",Cardiology,22
D013,dr.jennifer@example.com,password123,"Dr. Jennifer Martinez",9876543222,"1010 Maplewood St, City M",Radiology,7
D014,dr.julia@example.com,password123,"Dr. Julia White",9876543223,"1111 Cedarwood St, City N",Pulmonology,10
D015,dr.matthew@example.com,password123,"Dr. Matthew Lewis",9876543224,"1212 Birchwood St, City O",Nephrology,13
D016,dr.natalie@example.com,password123,"Dr. Natalie Harris",9876543225,"1313 Willowwood St, City P",Gastroenterology,16
D017,dr.karen@example.com,password123,"Dr. Karen Johnson",9876543226,"1414 Redwoodwood St, City Q",Otolaryngology,12
D018,dr.sophia@example.com,password123,"Dr. Sophia Brown",9876543227,"1515 Pinewood St, City R",Rheumatology,9
D019,dr.ryan@example.com,password123,"Dr. Ryan Adams",9876543228,"1616 Oakwood St, City S",Pediatrics,5
D020,dr.hannah@example.com,password123,"Dr. Hannah Walker",9876543229,"1717 Maplewood St, City T","General Medicine",14
D021,dr.zachary@example.com,password123,"Dr. Zachary Wright",9876543230,"1818 Cedarwood St, City U",Orthopedics,19
